GenotypeID,Class
D00713627,Offspring
D00713473,Offspring
D00711056,Offspring
D00711335,Offspring
D00713205,Offspring
D00711645,Offspring
D00713579,Offspring
D00713900,Offspring
D00712543,Offspring
D00712877,Offspring
D00712246,Offspring
D00711569,Offspring
D00712093,Offspring
D00712796,Offspring
D00712279,Offspring
D00711252,Offspring
D00712629,Offspring
D00712237,Offspring
D00712251,Offspring
D00713718,Offspring
D00711377,Offspring
D00712900,Offspring
D00712857,Offspring
D00711389,Offspring
D00713781,Offspring
D00713815,Offspring
D00713493,Offspring
D00712364,Offspring
D00711066,Offspring
D00713430,Offspring
D00713678,Offspring
D00712505,Offspring
D00713538,Offspring
D00711885,Offspring
D00711461,Offspring
D00711354,Offspring
D00713122,Offspring
D00713072,Offspring
D00712933,Offspring
D00712448,Offspring
D00713180,Offspring
D00711554,Offspring
D00712135,Offspring
D00713704,Offspring
D00713576,Offspring
D00712173,Offspring
D00712648,Offspring
D00712307,Offspring
D00711852,Offspring
D00711230,Offspring
D00712142,Offspring
D00712918,Offspring
D00712946,Offspring
D00712936,Offspring
D00714005,Offspring
D00712993,Offspring
D00712585,Offspring
D00711406,Offspring
D00711807,Offspring
D00711814,Offspring
D00712574,Offspring
D00712624,Offspring
D00712427,Offspring
D00712596,Offspring
D00712339,Offspring
D00713219,Offspring
D00713760,Offspring
D00711736,Offspring
D00711566,Offspring
D00713544,Offspring
D00713315,Offspring
D00712548,Offspring
D00713874,Offspring
D00711862,Offspring
D00712526,Offspring
D00712003,Offspring
D00712641,Offspring
D00713183,Offspring
D00711920,Offspring
D00711847,Offspring
D00711294,Offspring
D00712086,Offspring
D00713980,Offspring
